reaction_constants | J_Na (flux),reaction_constants | Na (millimolar)
7273.04,50
4497.36,50
4565.25,50
4623.39,50
4673.19,50
4715.84,50
4752.37,50
4783.66,50
4810.46,50
4833.42,50
4853.08,50
4869.92,50
4884.34,50
4896.7,50
4907.28,50
4916.34,50
4924.1,50
4930.75,50
4936.44,50
4941.32,50
4945.49,50
4949.07,50
4952.13,50
4954.76,50
4957,50
4958.93,50
4960.58,50
4961.99,50
4963.2,50
4964.23,50
4965.12,50
4965.88,50
4966.53,50
4967.09,50
4967.57,50
4967.97,50
4968.32,50
4968.62,50
4968.88,50
4969.1,50
4969.29,50
4969.45,50
4969.59,50
4969.71,50
4969.81,50
4969.89,50
4969.97,50
4970.03,50
4970.09,50
4970.13,50
4970.17,50
4970.21,50
4970.24,50
4970.26,50
4970.29,50
4970.3,50
4970.32,50
4970.33,50
4970.34,50
4970.35,50
4970.36,50
4970.37,50
4970.38,50
4970.38,50
4970.39,50
4970.39,50
4970.39,50
4970.4,50
4970.4,50
4970.4,50
4970.4,50
4970.4,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.41,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
4970.42,50
