environment | time (second),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
0,-5.56052e-05
1,-5.48776e-05
2,-5.41515e-05
3,-5.34269e-05
4,-5.27037e-05
5,-5.1982e-05
6,-5.12618e-05
7,-5.05431e-05
8,-4.98258e-05
9,-4.911e-05
10,-4.83956e-05
11,-4.76827e-05
12,-4.69712e-05
13,-4.62612e-05
14,-4.55526e-05
15,-4.48454e-05
16,-4.41396e-05
17,-4.34353e-05
18,-4.27324e-05
19,-4.20309e-05
20,-4.13308e-05
21,-4.06322e-05
22,-3.99349e-05
23,-3.9239e-05
24,-3.85445e-05
25,-3.78514e-05
26,-3.71597e-05
27,-3.64693e-05
28,-3.57804e-05
29,-3.50928e-05
30,-3.44066e-05
31,-3.37217e-05
32,-3.30382e-05
33,-3.23561e-05
34,-3.16753e-05
35,-3.09958e-05
36,-3.03177e-05
37,-2.9641e-05
38,-2.89655e-05
39,-2.82914e-05
40,-2.76187e-05
41,-2.69472e-05
42,-2.62771e-05
43,-2.56083e-05
44,-2.49408e-05
45,-2.42746e-05
46,-2.36097e-05
47,-2.29461e-05
48,-2.22838e-05
49,-2.16228e-05
50,-2.09631e-05
51,-2.03047e-05
52,-1.96476e-05
53,-1.89917e-05
54,-1.83371e-05
55,-1.76838e-05
56,-1.70317e-05
57,-1.6381e-05
58,-1.57314e-05
59,-1.50832e-05
60,-1.44361e-05
61,-1.37904e-05
62,-1.31458e-05
63,-1.25025e-05
64,-1.18605e-05
65,-1.12197e-05
66,-1.05801e-05
67,-9.94174e-06
68,-9.30461e-06
69,-8.6687e-06
70,-8.034e-06
71,-7.40051e-06
72,-6.76824e-06
73,-6.13717e-06
74,-5.5073e-06
75,-4.87863e-06
76,-4.25116e-06
77,-3.62488e-06
78,-2.99979e-06
79,-2.37589e-06
80,-1.75316e-06
81,-1.13162e-06
82,-5.1125e-07
83,1.07947e-07
84,7.25975e-07
85,1.34284e-06
86,1.95854e-06
87,2.57308e-06
88,3.18647e-06
89,3.7987e-06
90,4.40978e-06
91,5.01972e-06
92,5.62852e-06
93,6.23617e-06
94,6.84269e-06
95,7.44808e-06
96,8.05234e-06
97,8.65547e-06
98,9.25747e-06
99,9.85836e-06
100,1.04581e-05
101,1.10568e-05
102,1.16543e-05
103,1.22508e-05
104,1.28461e-05
105,1.34403e-05
106,1.40334e-05
107,1.46255e-05
108,1.52164e-05
109,1.58063e-05
110,1.6395e-05
111,1.69827e-05
112,1.75693e-05
113,1.81548e-05
114,1.87393e-05
115,1.93227e-05
116,1.9905e-05
117,2.04862e-05
118,2.10664e-05
119,2.16455e-05
120,2.22236e-05
121,2.28006e-05
122,2.33765e-05
123,2.39514e-05
124,2.45253e-05
125,2.50981e-05
126,2.56699e-05
127,2.62406e-05
128,2.68103e-05
129,2.7379e-05
130,2.79467e-05
131,2.85133e-05
132,2.90789e-05
133,2.96435e-05
134,3.0207e-05
135,3.07696e-05
136,3.13311e-05
137,3.18916e-05
138,3.24511e-05
139,3.30096e-05
140,3.35671e-05
141,3.41237e-05
142,3.46792e-05
143,3.52337e-05
144,3.57872e-05
145,3.63398e-05
146,3.68913e-05
147,3.74419e-05
148,3.79915e-05
149,3.85401e-05
150,3.90878e-05
151,3.96344e-05
152,4.01801e-05
153,4.07249e-05
154,4.12686e-05
155,4.18114e-05
156,4.23533e-05
157,4.28942e-05
158,4.34341e-05
159,4.39731e-05
160,4.45111e-05
161,4.50482e-05
162,4.55844e-05
163,4.61196e-05
164,4.66538e-05
165,4.71872e-05
166,4.77196e-05
167,4.8251e-05
168,4.87816e-05
169,4.93112e-05
170,4.98398e-05
171,5.03676e-05
172,5.08944e-05
173,5.14204e-05
174,5.19454e-05
175,5.24695e-05
176,5.29926e-05
177,5.35149e-05
178,5.40363e-05
179,5.45567e-05
180,5.50763e-05
181,5.5595e-05
182,5.61127e-05
183,5.66296e-05
184,5.71456e-05
185,5.76607e-05
186,5.81749e-05
187,5.86882e-05
188,5.92007e-05
189,5.97122e-05
190,6.02229e-05
191,6.07327e-05
192,6.12417e-05
193,6.17497e-05
194,6.22569e-05
195,6.27633e-05
196,6.32687e-05
197,6.37733e-05
198,6.42771e-05
199,6.47799e-05
200,6.5282e-05
201,6.57832e-05
202,6.62835e-05
203,6.6783e-05
204,6.72816e-05
205,6.77794e-05
206,6.82763e-05
207,6.87724e-05
208,6.92677e-05
209,6.97621e-05
210,7.02557e-05
211,7.07484e-05
212,7.12404e-05
213,7.17315e-05
214,7.22218e-05
215,7.27112e-05
216,7.31998e-05
217,7.36877e-05
218,7.41746e-05
219,7.46608e-05
220,7.51462e-05
221,7.56307e-05
222,7.61145e-05
223,7.65974e-05
224,7.70796e-05
225,7.75609e-05
226,7.80414e-05
227,7.85212e-05
228,7.90001e-05
229,7.94782e-05
230,7.99556e-05
231,8.04321e-05
232,8.09079e-05
233,8.13829e-05
234,8.1857e-05
235,8.23305e-05
236,8.28031e-05
237,8.32749e-05
238,8.3746e-05
239,8.42163e-05
240,8.46858e-05
241,8.51546e-05
242,8.56225e-05
243,8.60897e-05
244,8.65562e-05
245,8.70219e-05
246,8.74868e-05
247,8.79509e-05
248,8.84143e-05
249,8.8877e-05
250,8.93389e-05
251,8.98e-05
252,9.02604e-05
253,9.072e-05
254,9.11789e-05
255,9.1637e-05
256,9.20944e-05
257,9.25511e-05
258,9.3007e-05
259,9.34622e-05
260,9.39166e-05
261,9.43703e-05
262,9.48233e-05
263,9.52755e-05
264,9.5727e-05
265,9.61778e-05
266,9.66278e-05
267,9.70772e-05
268,9.75258e-05
269,9.79736e-05
270,9.84208e-05
271,9.88673e-05
272,9.9313e-05
273,9.9758e-05
274,0.000100202
275,0.000100646
276,0.000101089
277,0.000101531
278,0.000101972
279,0.000102413
280,0.000102853
281,0.000103293
282,0.000103731
283,0.000104169
284,0.000104607
285,0.000105043
286,0.000105479
287,0.000105914
288,0.000106349
289,0.000106783
290,0.000107216
291,0.000107648
292,0.00010808
293,0.000108511
294,0.000108941
295,0.000109371
296,0.0001098
297,0.000110229
298,0.000110656
299,0.000111083
300,0.00011151
301,0.000111935
302,0.00011236
303,0.000112785
304,0.000113209
305,0.000113632
306,0.000114054
307,0.000114476
308,0.000114897
309,0.000115317
310,0.000115737
311,0.000116156
312,0.000116575
313,0.000116992
314,0.00011741
315,0.000117826
316,0.000118242
317,0.000118657
318,0.000119072
319,0.000119486
320,0.000119899
321,0.000120312
322,0.000120724
323,0.000121135
324,0.000121546
325,0.000121956
326,0.000122365
327,0.000122774
328,0.000123183
329,0.00012359
330,0.000123997
331,0.000124404
332,0.000124809
333,0.000125214
334,0.000125619
335,0.000126023
336,0.000126426
337,0.000126829
338,0.000127231
339,0.000127632
340,0.000128033
341,0.000128433
342,0.000128833
343,0.000129232
344,0.00012963
345,0.000130028
346,0.000130425
347,0.000130822
348,0.000131218
349,0.000131613
350,0.000132008
351,0.000132402
352,0.000132796
353,0.000133189
354,0.000133581
355,0.000133973
356,0.000134364
357,0.000134755
358,0.000135145
359,0.000135535
360,0.000135924
361,0.000136312
362,0.0001367
363,0.000137087
364,0.000137473
365,0.000137859
366,0.000138245
367,0.00013863
368,0.000139014
369,0.000139398
370,0.000139781
371,0.000140163
372,0.000140545
373,0.000140927
374,0.000141308
375,0.000141688
376,0.000142068
377,0.000142447
378,0.000142826
379,0.000143204
380,0.000143581
381,0.000143958
382,0.000144335
383,0.00014471
384,0.000145086
385,0.00014546
386,0.000145835
387,0.000146208
388,0.000146581
389,0.000146954
390,0.000147326
391,0.000147697
392,0.000148068
393,0.000148439
394,0.000148808
395,0.000149178
396,0.000149547
397,0.000149915
398,0.000150282
399,0.00015065
400,0.000151016
401,0.000151382
402,0.000151748
403,0.000152113
404,0.000152477
405,0.000152841
406,0.000153205
407,0.000153568
408,0.00015393
409,0.000154292
410,0.000154653
411,0.000155014
412,0.000155374
413,0.000155734
414,0.000156093
415,0.000156452
416,0.00015681
417,0.000157168
418,0.000157525
419,0.000157882
420,0.000158238
421,0.000158594
422,0.000158949
423,0.000159304
424,0.000159658
425,0.000160011
426,0.000160364
427,0.000160717
428,0.000161069
429,0.000161421
430,0.000161772
431,0.000162123
432,0.000162473
433,0.000162822
434,0.000163171
435,0.00016352
436,0.000163868
437,0.000164216
438,0.000164563
439,0.00016491
440,0.000165256
441,0.000165602
442,0.000165947
443,0.000166291
444,0.000166636
445,0.000166979
446,0.000167323
447,0.000167665
448,0.000168008
449,0.00016835
450,0.000168691
451,0.000169032
452,0.000169372
453,0.000169712
454,0.000170052
455,0.00017039
456,0.000170729
457,0.000171067
458,0.000171404
459,0.000171742
460,0.000172078
461,0.000172414
462,0.00017275
463,0.000173085
464,0.00017342
465,0.000173754
466,0.000174088
467,0.000174421
468,0.000174754
469,0.000175087
470,0.000175418
471,0.00017575
472,0.000176081
473,0.000176412
474,0.000176742
475,0.000177071
476,0.000177401
477,0.000177729
478,0.000178058
479,0.000178386
480,0.000178713
481,0.00017904
482,0.000179366
483,0.000179692
484,0.000180018
485,0.000180343
486,0.000180668
487,0.000180992
488,0.000181316
489,0.000181639
490,0.000181962
491,0.000182285
492,0.000182607
493,0.000182929
494,0.00018325
495,0.000183571
496,0.000183891
497,0.000184211
498,0.00018453
499,0.000184849
500,0.000185168
501,0.000185486
502,0.000185804
503,0.000186121
504,0.000186438
505,0.000186754
506,0.00018707
507,0.000187386
508,0.000187701
509,0.000188016
510,0.00018833
511,0.000188644
512,0.000188957
513,0.000189271
514,0.000189583
515,0.000189895
516,0.000190207
517,0.000190519
518,0.000190829
519,0.00019114
520,0.00019145
521,0.00019176
522,0.000192069
523,0.000192378
524,0.000192686
525,0.000192995
526,0.000193302
527,0.000193609
528,0.000193916
529,0.000194223
530,0.000194529
531,0.000194834
532,0.000195139
533,0.000195444
534,0.000195749
535,0.000196053
536,0.000196356
537,0.000196659
538,0.000196962
539,0.000197265
540,0.000197567
541,0.000197868
542,0.000198169
543,0.00019847
544,0.000198771
545,0.000199071
546,0.00019937
547,0.000199669
548,0.000199968
549,0.000200267
550,0.000200565
551,0.000200862
552,0.00020116
553,0.000201456
554,0.000201753
555,0.000202049
556,0.000202345
557,0.00020264
558,0.000202935
559,0.00020323
560,0.000203524
561,0.000203818
562,0.000204111
563,0.000204404
564,0.000204697
565,0.000204989
566,0.000205281
567,0.000205572
568,0.000205863
569,0.000206154
570,0.000206444
571,0.000206734
572,0.000207024
573,0.000207313
574,0.000207602
575,0.000207891
576,0.000208179
577,0.000208467
578,0.000208754
579,0.000209041
580,0.000209328
581,0.000209614
582,0.0002099
583,0.000210185
584,0.000210471
585,0.000210755
586,0.00021104
587,0.000211324
588,0.000211608
589,0.000211891
590,0.000212174
591,0.000212457
592,0.000212739
593,0.000213021
594,0.000213302
595,0.000213584
596,0.000213865
597,0.000214145
598,0.000214425
599,0.000214705
600,0.000214984
601,0.000215263
602,0.000215542
603,0.00021582
604,0.000216098
605,0.000216376
606,0.000216653
607,0.00021693
608,0.000217207
609,0.000217483
610,0.000217759
611,0.000218035
612,0.00021831
613,0.000218585
614,0.000218859
615,0.000219133
616,0.000219407
617,0.000219681
618,0.000219954
619,0.000220227
620,0.000220499
621,0.000220771
622,0.000221043
623,0.000221314
624,0.000221586
625,0.000221856
626,0.000222127
627,0.000222397
628,0.000222667
629,0.000222936
630,0.000223205
631,0.000223474
632,0.000223742
633,0.00022401
634,0.000224278
635,0.000224545
636,0.000224812
637,0.000225079
638,0.000225346
639,0.000225612
640,0.000225877
641,0.000226143
642,0.000226408
643,0.000226673
644,0.000226937
645,0.000227201
646,0.000227465
647,0.000227728
648,0.000227992
649,0.000228254
650,0.000228517
651,0.000228779
652,0.000229041
653,0.000229302
654,0.000229564
655,0.000229824
656,0.000230085
657,0.000230345
658,0.000230605
659,0.000230865
660,0.000231124
661,0.000231383
662,0.000231642
663,0.0002319
664,0.000232158
665,0.000232416
666,0.000232673
667,0.00023293
668,0.000233187
669,0.000233443
670,0.0002337
671,0.000233955
672,0.000234211
673,0.000234466
674,0.000234721
675,0.000234976
676,0.00023523
677,0.000235484
678,0.000235738
679,0.000235991
680,0.000236244
681,0.000236497
682,0.000236749
683,0.000237001
684,0.000237253
685,0.000237505
686,0.000237756
687,0.000238007
688,0.000238258
689,0.000238508
690,0.000238758
691,0.000239008
692,0.000239257
693,0.000239506
694,0.000239755
695,0.000240004
696,0.000240252
697,0.0002405
698,0.000240747
699,0.000240995
700,0.000241242
701,0.000241489
702,0.000241735
703,0.000241981
704,0.000242227
705,0.000242473
706,0.000242718
707,0.000242963
708,0.000243208
709,0.000243452
710,0.000243696
711,0.00024394
712,0.000244184
713,0.000244427
714,0.00024467
715,0.000244912
716,0.000245155
717,0.000245397
718,0.000245639
719,0.00024588
720,0.000246122
721,0.000246363
722,0.000246603
723,0.000246844
724,0.000247084
725,0.000247324
726,0.000247563
727,0.000247802
728,0.000248041
729,0.00024828
730,0.000248519
731,0.000248757
732,0.000248995
733,0.000249232
734,0.00024947
735,0.000249707
736,0.000249943
737,0.00025018
738,0.000250416
739,0.000250652
740,0.000250888
741,0.000251123
742,0.000251358
743,0.000251593
744,0.000251828
745,0.000252062
746,0.000252296
747,0.00025253
748,0.000252763
749,0.000252996
750,0.000253229
751,0.000253462
752,0.000253694
753,0.000253926
754,0.000254158
755,0.00025439
756,0.000254621
757,0.000254852
758,0.000255083
759,0.000255314
760,0.000255544
761,0.000255774
762,0.000256004
763,0.000256233
764,0.000256462
765,0.000256691
766,0.00025692
767,0.000257148
768,0.000257376
769,0.000257604
770,0.000257832
771,0.000258059
772,0.000258286
773,0.000258513
774,0.00025874
775,0.000258966
776,0.000259192
777,0.000259418
778,0.000259644
779,0.000259869
780,0.000260094
781,0.000260319
782,0.000260543
783,0.000260768
784,0.000260992
785,0.000261215
786,0.000261439
787,0.000261662
788,0.000261885
789,0.000262108
790,0.00026233
791,0.000262553
792,0.000262775
793,0.000262996
794,0.000263218
795,0.000263439
796,0.00026366
797,0.000263881
798,0.000264101
799,0.000264322
800,0.000264542
801,0.000264761
802,0.000264981
803,0.0002652
804,0.000265419
805,0.000265638
806,0.000265856
807,0.000266075
808,0.000266293
809,0.00026651
810,0.000266728
811,0.000266945
812,0.000267162
813,0.000267379
814,0.000267596
815,0.000267812
816,0.000268028
817,0.000268244
818,0.00026846
819,0.000268675
820,0.00026889
821,0.000269105
822,0.00026932
823,0.000269534
824,0.000269748
825,0.000269962
826,0.000270176
827,0.000270389
828,0.000270603
829,0.000270815
830,0.000271028
831,0.000271241
832,0.000271453
833,0.000271665
834,0.000271877
835,0.000272088
836,0.0002723
837,0.000272511
838,0.000272722
839,0.000272932
840,0.000273143
841,0.000273353
842,0.000273563
843,0.000273773
844,0.000273982
845,0.000274191
846,0.0002744
847,0.000274609
848,0.000274818
849,0.000275026
850,0.000275234
851,0.000275442
852,0.00027565
853,0.000275857
854,0.000276064
855,0.000276271
856,0.000276478
857,0.000276685
858,0.000276891
859,0.000277097
860,0.000277303
861,0.000277508
862,0.000277714
863,0.000277919
864,0.000278124
865,0.000278329
866,0.000278533
867,0.000278738
868,0.000278942
869,0.000279145
870,0.000279349
871,0.000279552
872,0.000279756
873,0.000279959
874,0.000280161
875,0.000280364
876,0.000280566
877,0.000280768
878,0.00028097
879,0.000281172
880,0.000281373
881,0.000281574
882,0.000281775
883,0.000281976
884,0.000282177
885,0.000282377
886,0.000282577
887,0.000282777
888,0.000282977
889,0.000283176
890,0.000283376
891,0.000283575
892,0.000283774
893,0.000283972
894,0.000284171
895,0.000284369
896,0.000284567
897,0.000284765
898,0.000284962
899,0.00028516
900,0.000285357
901,0.000285554
902,0.00028575
903,0.000285947
904,0.000286143
905,0.000286339
906,0.000286535
907,0.000286731
908,0.000286927
909,0.000287122
910,0.000287317
911,0.000287512
912,0.000287706
913,0.000287901
914,0.000288095
915,0.000288289
916,0.000288483
917,0.000288677
918,0.00028887
919,0.000289063
920,0.000289256
921,0.000289449
922,0.000289642
923,0.000289834
924,0.000290026
925,0.000290218
926,0.00029041
927,0.000290602
928,0.000290793
929,0.000290984
930,0.000291175
931,0.000291366
932,0.000291557
933,0.000291747
934,0.000291937
935,0.000292127
936,0.000292317
937,0.000292507
938,0.000292696
939,0.000292885
940,0.000293074
941,0.000293263
942,0.000293452
943,0.00029364
944,0.000293828
945,0.000294016
946,0.000294204
947,0.000294392
948,0.000294579
949,0.000294767
950,0.000294954
951,0.000295141
952,0.000295327
953,0.000295514
954,0.0002957
955,0.000295886
956,0.000296072
957,0.000296258
958,0.000296443
959,0.000296628
960,0.000296814
961,0.000296998
962,0.000297183
963,0.000297368
964,0.000297552
965,0.000297736
966,0.00029792
967,0.000298104
968,0.000298288
969,0.000298471
970,0.000298654
971,0.000298837
972,0.00029902
973,0.000299203
974,0.000299385
975,0.000299568
976,0.00029975
977,0.000299932
978,0.000300113
979,0.000300295
980,0.000300476
981,0.000300657
982,0.000300838
983,0.000301019
984,0.0003012
985,0.00030138
986,0.00030156
987,0.000301741
988,0.00030192
989,0.0003021
990,0.00030228
991,0.000302459
992,0.000302638
993,0.000302817
994,0.000302996
995,0.000303174
996,0.000303353
997,0.000303531
998,0.000303709
999,0.000303887
1000,0.000304065
